Final adopted property tax rates by county and tax area,,
"Taken from Utah State Tax Commission, Property Tax Division, ""2025 Tax Rates by Tax Area""",,
https://files.tax.utah.gov/propertytax/tax-rates/area-rates/taxarearates2025.pdf,,
,,
cnty_name,area_num,rate_final
Juab,006-9001,0.008959
Juab,007-0000,0.008559
Juab,008-0000,0.009203
Juab,009-0000,0.008325
Juab,010-0000,0.007925
Juab,011-0000,0.008959
Juab,012-0000,0.009072
Juab,012-9002,0.009072
Juab,012-9003,0.009072
Juab,013-0000,0.010107
Juab,014-0000,0.010481
Juab,015-0000,0.009576
Juab,016-0000,0.009072
Juab,016-9021,0.008959
Juab,017-0000,0.009576
Kane,001-0000,0.006879
Kane,002-0000,0.008579
Kane,002-0001,0.014579
Kane,003-0000,0.008311
Kane,003-0001,0.008311
Kane,003-0002,0.008311
Kane,004-0000,0.008122
Kane,004-0001,0.008122
Kane,005-0000,0.008902
Kane,006-0000,0.006879
Kane,006-0001,0.006879
Kane,007-0000,0.006879
Kane,010-0000,0.00967
Kane,011-0000,0.006879
Kane,012-0000,0.006879
Kane,012-0001,0.006879
Kane,013-0000,0.006879
Kane,015-0000,0.006879
Kane,016-0000,0.006879
Kane,016-0001,0.006879
Kane,017-0000,0.006879
Millard,001-0000,0.007962
Millard,001-0003,0.007962
Millard,001-0004,0.007962
Millard,001-9500,0.007962
Millard,002-0000,0.007767
Millard,003-0000,0.007634
Millard,004-0000,0.007779
Millard,005-0000,0.007838
Millard,006-0000,0.007513
Millard,006-0001,0.007513
Millard,006-0002,0.007513
Millard,007-0000,0.009334
Millard,008-0000,0.008366
Millard,009-0000,0.008026
Millard,010-0000,0.009326
Millard,011-0000,0.008486
Millard,012-0000,0.008112
Millard,012-0002,0.008112
Millard,013-0000,0.008107
Millard,014-9900,0.007962
Millard,015-0000,0.007933
Millard,015-0002,0.007933
Morgan,001-0000,0.008175
Morgan,002-0000,0.008622
Morgan,003-0000,0.008745
Morgan,004-0000,0.009472
Morgan,005-0000,0.009472
Morgan,007-0000,0.008298
Morgan,008-0000,0.009472
Morgan,009-0000,0.014745
Morgan,010-0000,0.012745
Morgan,012-0000,0.011755
Morgan,013-0000,0.008745
Morgan,014-0000,0.008745
Piute,001-0000,0.0082
Piute,002-0000,0.008075
Piute,003-0000,0.007588
Piute,004-0000,0.007882
