county_id,county_name,cnty_txbl_val,cnty_calculated_levy,schl_txbl_val,schl_calculated_levy,city_txbl_val,city_calculated_levy,spec_txbl_val,spec_calculated_levy,tot_txbl_val,tot_calculated_levy,avg_eff_prop_tax_rate,avg_eff_prop_tax_rate_pct
102,Harrison,10355920970.0,35500097.0,8826640007.0,76646620.0,2805194606.0,14161634.0,7268697579.0,6621499.0,10355920970.0,132929850.0,0.012836120552202322,1.2836120552202321
103,Hartley,1044138417.0,4232332.0,864943935.0,7678608.0,303339758.0,1301172.0,2983957661.0,2941157.0,2983957661.0,16153269.0,0.005413370709350692,0.5413370709350692
104,Haskell,817535585.0,4591898.298236,896938355.0,10291974.0,237841547.0,1147230.0,2523356424.0,2311688.0,2523356424.0,18342790.298236,0.007269203083549802,0.7269203083549802
105,Hays,52472452099.0,209837335.594174,42241597147.0,463409459.0,24387666908.0,129434027.0,142734874691.0,158980678.0,142734874691.0,961661499.594174,0.00673739688128798,0.673739688128798
106,Hemphill,1163661198.0,6167404.0,1089098425.0,9957623.0,131960490.0,1116887.0,2333910656.0,6924821.0,2333910656.0,24166735.0,0.010354610163791977,1.0354610163791977
107,Henderson,14261092510.0,47473432.132107,10582983940.0,102213639.0,3655935312.0,15301333.0,24845045794.0,29793324.0,24845045794.0,194781728.132107,0.00783986190837073,0.7839861908370729
108,Hidalgo,64867610962.0,372988763.0,47803964474.0,464936453.0,51411624065.0,235765288.0,152325098804.0,196175769.0,152325098804.0,1269866273.0,0.008336553089218504,0.8336553089218504
109,Hill,5634483359.0,25504548.165661,4252505285.0,44849045.0,1509434035.0,10375447.0,13916811384.0,6669254.0,13916811384.0,87398294.165661,0.006280051640718637,0.6280051640718637
110,Hockley,3463847892.0,17316399.0,3058261392.0,28721403.0,1100419261.0,6215107.0,6429668994.0,11646174.0,6429668994.0,63899083.0,0.009938160589546517,0.9938160589546517
111,Hood,12471597061.0,35390079.974535,9738027087.0,90688651.0,3155672874.0,13264474.0,16140866.0,161409.0,12471597061.0,139504613.974535,0.011185785853423749,1.1185785853423749
112,Hopkins,5098424374.0,17144987.886606,3170803555.0,32643015.0,1772445806.0,7796520.0,4748609295.0,6458109.0,5098424374.0,64042631.886606,0.012561259555638159,1.2561259555638158
113,Houston,2576928271.0,10900407.0,2163014727.0,18417737.0,614083922.0,3510224.0,5092551424.0,3574608.0,5092551424.0,36402976.0,0.007148278528605782,0.7148278528605782
114,Howard,8643203173.0,26077495.0,7999040585.0,66327485.0,1519548719.0,9901472.0,15346682836.0,18836025.0,15346682836.0,121142477.0,0.007893723894249378,0.7893723894249378
115,Hudspeth,703910921.0,3958591.0,668115495.0,5750060.0,12485494.0,73683.0,796653201.0,927635.0,796653201.0,10709969.0,0.013443702964547556,1.3443702964547557
116,Hunt,16036017034.0,53438584.0,12074697554.0,126464811.0,6745536033.0,38325765.0,17276096303.0,41594623.0,17276096303.0,259823783.0,0.01503949610160957,1.5039496101609569
117,Hutchinson,3149118713.0,15745594.0,2806996188.0,28566419.0,799291630.0,3348790.0,4960369250.0,6470876.0,4960369250.0,54131679.0,0.010912832547697936,1.0912832547697937
118,Irion,2224875290.0,12675626.228132,2140971847.0,18874844.0,39941180.0,340307.0,2338332960.0,206568.0,2338332960.0,32097345.228132002,0.013726593165813308,1.3726593165813308
